CreationDate    topic_id   Q0         tweet_id             Rank       Score           RunID      
20160802        RTS1       0          760625542219595776   1          2.845447        Lab-0      
20160802        RTS1       0          760580197590536192   2          2.8397245       Lab-0      
20160802        RTS1       0          760390359193124864   3          1.4812967       Lab-0      
20160802        RTS1       0          760437549307494400   4          1.4784354       Lab-0      
20160802        RTS1       0          760532516755365889   5          1.4784354       Lab-0      
20160802        RTS1       0          760427503974440960   6          1.361289        Lab-0      
20160802        RTS1       0          760461750474936320   7          1.361289        Lab-0      
20160802        RTS1       0          760424681203601408   8          1.3588624       Lab-0      
20160802        RTS1       0          760467458910289920   9          1.3588624       Lab-0      
20160802        RTS2       0          760496043066740736   1          1.4784354       Lab-0      
20160802        RTS2       0          760489931969929216   2          1.4784354       Lab-0      
20160802        RTS2       0          760472781469298689   3          1.4784354       Lab-0      
20160802        RTS2       0          760467962214158336   4          1.4784354       Lab-0      
20160802        RTS2       0          760587063687311362   5          1.4784354       Lab-0      
20160802        RTS2       0          760497334912442368   6          0.46997026      Lab-0      
20160802        RTS2       0          760469728011825152   7          0.46997026      Lab-0      
20160802        RTS2       0          760469711226187776   8          0.46997026      Lab-0      
20160802        RTS2       0          760457216424050688   9          0.46997026      Lab-0      
20160802        RTS2       0          760308628997844992   10         0.46997026      Lab-0      
20160802        RTS4       0          760536320968126464   1          2.2649662       Lab-0      
20160802        RTS4       0          760619192038989824   2          2.2362628       Lab-0      
20160802        RTS4       0          760561998509727745   3          2.169308        Lab-0      
20160802        RTS4       0          760427147446128640   4          2.164455        Lab-0      
20160802        RTS4       0          760567878949011457   5          2.1570003       Lab-0      
20160802        RTS4       0          760473607743033345   6          2.1423736       Lab-0      
20160802        RTS4       0          760437922621513729   7          1.7073662       Lab-0      
20160802        RTS4       0          760525554202382336   8          1.5740938       Lab-0      
20160802        RTS4       0          760490292697006080   9          1.5164496       Lab-0      
20160802        RTS4       0          760485368592490496   10         1.1801122       Lab-0      
20160802        RTS5       0          760318745654857729   1          1.2717221       Lab-0      
20160802        RTS5       0          760535410816667649   2          1.2201921       Lab-0      
20160802        RTS5       0          760420772103938048   3          0.93111885      Lab-0      
20160802        RTS5       0          760430288962932736   4          0.8795375       Lab-0      
20160802        RTS5       0          760392049514258432   5          0.8746844       Lab-0      
20160802        RTS5       0          760508059768598528   6          0.8746844       Lab-0      
20160802        RTS5       0          760290161489879040   7          0.8330339       Lab-0      
20160802        RTS5       0          760422500148838400   8          0.7867404       Lab-0      
20160802        RTS5       0          760439566784270336   9          0.78387916      Lab-0      
20160802        RTS5       0          760439952660246529   10         0.78387916      Lab-0      
20160802        RTS6       0          760421833279545344   1          1.805512        Lab-0      
20160802        RTS6       0          760571850955091968   2          1.805512        Lab-0      
20160802        RTS6       0          760284876662792192   3          1.805512        Lab-0      
20160802        RTS6       0          760581346838323200   4          1.0350919       Lab-0      
20160802        RTS6       0          760448320301137920   5          1.0302387       Lab-0      
20160802        RTS6       0          760517559858831361   6          0.7635157       Lab-0      
20160802        RTS6       0          760362735531991040   7          0.67534894      Lab-0      
20160802        RTS6       0          760440548247437313   8          0.6696264       Lab-0      
20160802        RTS6       0          760410236003966978   9          0.6696264       Lab-0      
20160802        RTS6       0          760555845470085120   10         0.6696264       Lab-0      
20160802        RTS10      0          760388266239533056   1          3.0641003       Lab-0      
20160802        RTS10      0          760487667041574912   2          2.8690631       Lab-0      
20160802        RTS10      0          760436156806733824   3          2.0515683       Lab-0      
20160802        RTS10      0          760526506300813312   4          1.805512        Lab-0      
